Gene,p_value,fold_change
208780_x_at,3.852452590289017e-08,1438.8181395348834
209249_s_at,1.7576447390901207e-09,1438.3383395348844
209135_at,1.1465138747559656e-05,1437.8691627906974
213356_x_at,0.006024300887580898,1437.5933720930243
213545_x_at,3.759579989494559e-09,1437.453744186047
203445_s_at,7.126046044611147e-08,1433.7795348837208
214677_x_at,0.0023386263496298202,1433.1434046511629
201022_s_at,6.350697754869921e-06,1432.1327906976753
200023_s_at,6.275599263867618e-07,1428.73734883721
202021_x_at,0.00017241922795535939,1424.2402093023256
201231_s_at,1.84665450125824e-07,1423.3856744186046
201530_x_at,8.616033267285279e-11,1419.8118372093027
202004_x_at,2.7940468948416556e-17,1419.699162790698
208836_at,2.119784060150712e-08,1419.6920930232568
211465_x_at,1.3663418762954219e-05,1418.0788372093034
211026_s_at,9.457923061430739e-07,1416.5205348837203
221466_at,5.53724530801989e-13,1416.0095116279074
221689_s_at,4.939719921999201e-14,1415.2189767441866
213860_x_at,1.5598677678594962e-09,1414.134255813954
202766_s_at,0.00020016043685438433,1412.8968372093027
214687_x_at,1.9063459547387823e-08,1411.872953488372
214039_s_at,9.020717306829571e-07,1405.8420930232555
212826_s_at,2.1176822427579413e-10,1405.4193023255814
201041_s_at,0.0037088156011561113,1403.8652325581402
217398_x_at,1.1092470231081815e-08,1403.6828837209307
200905_x_at,4.1857068633345773e-10,1403.0042093023253
202544_at,1.9169315207342941e-10,1401.4230232558143
208697_s_at,4.512501022361626e-06,1401.1198372093027
221731_x_at,9.53922863987614e-05,1399.914906976744
211340_s_at,1.3818307234445522e-05,1399.8228372093026
209335_at,1.8948403642630035e-06,1398.6677906976747
212933_x_at,2.7549356798605065e-07,1398.4399999999996
208667_s_at,1.5499535794722412e-10,1395.6206976744184
214496_x_at,1.2318908833093435e-08,1394.0159069767453
208923_at,5.051343831164306e-08,1393.2688372093025
208683_at,1.4171428316090449e-09,1391.6632558139531
212370_x_at,8.39723497984921e-12,1390.7739534883708
221891_x_at,1.3351933394387504e-05,1388.7404418604642
215687_x_at,2.7797613717478038e-08,1385.940232558139
212097_at,0.0073651466193913355,1385.5010465116288
202919_at,5.224133155796859e-11,1384.4323255813952
201865_x_at,1.0512902197009514e-05,1384.2672093023261
211628_x_at,0.0007147471175560857,1383.4900000000002
214091_s_at,1.974357464021604e-05,1382.8483720930224
214726_x_at,2.165290541646365e-09,1382.1969767441865
202228_s_at,1.0730093870215114e-07,1381.6596511627913
202529_at,7.085678020200705e-12,1380.216744186047
202244_at,5.685103178289337e-09,1377.8478139534882
217736_s_at,2.0853286311597655e-10,1374.4495348837208
212213_x_at,6.9103781828896346e-12,1373.7341860465112
200057_s_at,1.2590447880747635e-08,1372.993488372092
213798_s_at,1.4108527219934738e-06,1370.8984186046514
218554_s_at,2.6433153527521053e-07,1370.7709302325566
212227_x_at,5.530123135366817e-05,1370.1020697674421
201676_x_at,6.203921136797051e-07,1369.930139534884
208845_at,1.0145086216940889e-06,1369.5209302325584
215057_at,3.897543894531542e-06,1366.90930232558
207330_at,1.676619369628826e-14,1366.2332558139542
210825_s_at,3.628972218451596e-08,1365.9139534883725
218460_at,6.3777742511706e-11,1365.6153488372097
210949_s_at,8.097551509846186e-09,1365.4615581395346
203455_s_at,8.721955764644041e-08,1364.6269767441854
215071_s_at,2.7693937357788212e-08,1363.4588837209305
202298_at,1.2295161754390327e-08,1363.3903255813957
213702_x_at,1.0909014417263561e-05,1357.1744186046521
210927_x_at,1.7712492605559256e-06,1353.4711627906972
211919_s_at,2.1550205722367366e-14,1352.0688139534882
208687_x_at,1.540138839853542e-06,1351.3198837209306
55705_at,1.3745845742952537e-15,1350.8895348837214
200029_at,0.0019643668694671363,1350.640604651162
202515_at,8.537257018397653e-09,1350.4001627906969
212801_at,1.26698836692855e-13,1343.4758139534883
201068_s_at,3.917909845819972e-09,1342.8656744186046
221875_x_at,7.472213429957804e-08,1342.7637674418604
201453_x_at,1.4084134523880367e-08,1338.913720930233
217456_x_at,2.915785212243504e-13,1338.5387906976744
208898_at,2.35652755976376e-14,1338.5376279069774
201180_s_at,2.6744882011235347e-10,1337.2650232558135
217892_s_at,1.817353716702144e-07,1336.6295348837211
202967_at,2.7758982594895187e-12,1336.6212093023257
217768_at,1.9405438167706844e-08,1336.54853488372
212558_at,5.203746282538621e-07,1335.9364651162787
200024_at,6.847615452258576e-08,1334.7202558139525
212372_at,1.324882011707426e-06,1330.3044186046511
200696_s_at,0.00028984826081566474,1327.829139534883
